dut_data:79, torch_data:78, c:11, w:133, h:1, i+1:4700, err:1.0 
dut_data:98, torch_data:97, c:8, w:135, h:1, i+1:4729, err:1.0 
dut_data:77, torch_data:76, c:11, w:136, h:1, i+1:4748, err:1.0 
dut_data:80, torch_data:79, c:0, w:137, h:1, i+1:4753, err:1.0 
dut_data:83, torch_data:82, c:4, w:138, h:1, i+1:4773, err:1.0 
dut_data:79, torch_data:78, c:8, w:143, h:1, i+1:4857, err:1.0 
dut_data:95, torch_data:94, c:10, w:144, h:1, i+1:4875, err:1.0 
dut_data:79, torch_data:78, c:14, w:148, h:1, i+1:4943, err:1.0 
dut_data:79, torch_data:78, c:10, w:155, h:1, i+1:5051, err:1.0 
dut_data:80, torch_data:79, c:3, w:156, h:1, i+1:5060, err:1.0 
dut_data:87, torch_data:86, c:4, w:156, h:1, i+1:5061, err:1.0 
dut_data:77, torch_data:76, c:0, w:3, h:2, i+1:5169, err:1.0 
dut_data:77, torch_data:76, c:10, w:11, h:2, i+1:5307, err:1.0 
dut_data:95, torch_data:94, c:3, w:20, h:2, i+1:5444, err:1.0 
dut_data:83, torch_data:82, c:10, w:21, h:2, i+1:5467, err:1.0 
dut_data:77, torch_data:76, c:11, w:21, h:2, i+1:5468, err:1.0 
dut_data:78, torch_data:77, c:12, w:21, h:2, i+1:5469, err:1.0 
dut_data:90, torch_data:89, c:14, w:22, h:2, i+1:5487, err:1.0 
dut_data:87, torch_data:86, c:0, w:30, h:2, i+1:5601, err:1.0 
dut_data:84, torch_data:83, c:4, w:30, h:2, i+1:5605, err:1.0 
dut_data:86, torch_data:85, c:3, w:36, h:2, i+1:5700, err:1.0 
dut_data:87, torch_data:86, c:9, w:44, h:2, i+1:5834, err:1.0 
dut_data:86, torch_data:85, c:4, w:46, h:2, i+1:5861, err:1.0 
dut_data:85, torch_data:84, c:0, w:51, h:2, i+1:5937, err:1.0 
dut_data:83, torch_data:82, c:8, w:64, h:2, i+1:6153, err:1.0 
dut_data:78, torch_data:77, c:7, w:71, h:2, i+1:6264, err:1.0 
dut_data:85, torch_data:84, c:4, w:78, h:2, i+1:6373, err:1.0 
dut_data:81, torch_data:80, c:7, w:97, h:2, i+1:6680, err:1.0 
dut_data:78, torch_data:77, c:13, w:102, h:2, i+1:6766, err:1.0 
dut_data:77, torch_data:76, c:13, w:109, h:2, i+1:6878, err:1.0 
dut_data:93, torch_data:92, c:7, w:113, h:2, i+1:6936, err:1.0 
dut_data:89, torch_data:88, c:6, w:115, h:2, i+1:6967, err:1.0 
dut_data:81, torch_data:80, c:13, w:115, h:2, i+1:6974, err:1.0 
dut_data:77, torch_data:76, c:8, w:117, h:2, i+1:7001, err:1.0 
dut_data:77, torch_data:76, c:14, w:118, h:2, i+1:7023, err:1.0 
dut_data:77, torch_data:76, c:1, w:119, h:2, i+1:7026, err:1.0 
dut_data:84, torch_data:83, c:12, w:121, h:2, i+1:7069, err:1.0 
