dut_data:157, torch_data:158, c:1, w:66, h:1, i+1:3618, err:-1.0 
dut_data:161, torch_data:162, c:7, w:66, h:1, i+1:3624, err:-1.0 
dut_data:162, torch_data:163, c:12, w:67, h:1, i+1:3645, err:-1.0 
dut_data:157, torch_data:158, c:3, w:81, h:1, i+1:3860, err:-1.0 
dut_data:169, torch_data:170, c:14, w:81, h:1, i+1:3871, err:-1.0 
dut_data:161, torch_data:162, c:4, w:82, h:1, i+1:3877, err:-1.0 
dut_data:170, torch_data:171, c:6, w:93, h:1, i+1:4055, err:-1.0 
dut_data:164, torch_data:165, c:5, w:96, h:1, i+1:4102, err:-1.0 
dut_data:170, torch_data:171, c:7, w:98, h:1, i+1:4136, err:-1.0 
dut_data:161, torch_data:162, c:7, w:100, h:1, i+1:4168, err:-1.0 
dut_data:154, torch_data:155, c:13, w:102, h:1, i+1:4206, err:-1.0 
dut_data:191, torch_data:192, c:4, w:112, h:1, i+1:4357, err:-1.0 
dut_data:163, torch_data:164, c:13, w:115, h:1, i+1:4414, err:-1.0 
dut_data:152, torch_data:153, c:12, w:118, h:1, i+1:4461, err:-1.0 
dut_data:157, torch_data:158, c:12, w:123, h:1, i+1:4541, err:-1.0 
dut_data:152, torch_data:153, c:15, w:124, h:1, i+1:4560, err:-1.0 
dut_data:169, torch_data:170, c:14, w:127, h:1, i+1:4607, err:-1.0 
dut_data:159, torch_data:160, c:4, w:130, h:1, i+1:4645, err:-1.0 
dut_data:156, torch_data:157, c:6, w:131, h:1, i+1:4663, err:-1.0 
dut_data:156, torch_data:157, c:12, w:137, h:1, i+1:4765, err:-1.0 
dut_data:163, torch_data:164, c:4, w:138, h:1, i+1:4773, err:-1.0 
dut_data:156, torch_data:157, c:14, w:138, h:1, i+1:4783, err:-1.0 
dut_data:153, torch_data:154, c:12, w:147, h:1, i+1:4925, err:-1.0 
dut_data:156, torch_data:157, c:8, w:149, h:1, i+1:4953, err:-1.0 
dut_data:153, torch_data:154, c:13, w:150, h:1, i+1:4974, err:-1.0 
dut_data:157, torch_data:158, c:1, w:155, h:1, i+1:5042, err:-1.0 
dut_data:157, torch_data:158, c:12, w:156, h:1, i+1:5069, err:-1.0 
dut_data:153, torch_data:154, c:10, w:159, h:1, i+1:5115, err:-1.0 
dut_data:206, torch_data:207, c:4, w:0, h:2, i+1:5125, err:-1.0 
dut_data:162, torch_data:163, c:4, w:8, h:2, i+1:5253, err:-1.0 
dut_data:160, torch_data:161, c:5, w:12, h:2, i+1:5318, err:-1.0 
dut_data:155, torch_data:156, c:10, w:12, h:2, i+1:5323, err:-1.0 
dut_data:171, torch_data:172, c:0, w:14, h:2, i+1:5345, err:-1.0 
dut_data:155, torch_data:156, c:1, w:18, h:2, i+1:5410, err:-1.0 
dut_data:155, torch_data:156, c:13, w:18, h:2, i+1:5422, err:-1.0 
dut_data:169, torch_data:170, c:12, w:19, h:2, i+1:5437, err:-1.0 
dut_data:164, torch_data:165, c:2, w:22, h:2, i+1:5475, err:-1.0 
dut_data:166, torch_data:167, c:10, w:22, h:2, i+1:5483, err:-1.0 
dut_data:189, torch_data:190, c:8, w:23, h:2, i+1:5497, err:-1.0 
dut_data:152, torch_data:153, c:11, w:27, h:2, i+1:5564, err:-1.0 
dut_data:156, torch_data:157, c:13, w:34, h:2, i+1:5678, err:-1.0 
dut_data:166, torch_data:167, c:0, w:35, h:2, i+1:5681, err:-1.0 
dut_data:172, torch_data:173, c:15, w:37, h:2, i+1:5728, err:-1.0 
dut_data:154, torch_data:155, c:1, w:39, h:2, i+1:5746, err:-1.0 
dut_data:153, torch_data:154, c:0, w:41, h:2, i+1:5777, err:-1.0 
dut_data:152, torch_data:153, c:10, w:50, h:2, i+1:5931, err:-1.0 
dut_data:163, torch_data:164, c:1, w:52, h:2, i+1:5954, err:-1.0 
dut_data:165, torch_data:166, c:9, w:52, h:2, i+1:5962, err:-1.0 
dut_data:163, torch_data:164, c:14, w:53, h:2, i+1:5983, err:-1.0 
dut_data:161, torch_data:162, c:15, w:53, h:2, i+1:5984, err:-1.0 
dut_data:163, torch_data:164, c:12, w:57, h:2, i+1:6045, err:-1.0 
dut_data:158, torch_data:159, c:9, w:69, h:2, i+1:6234, err:-1.0 
dut_data:161, torch_data:162, c:14, w:69, h:2, i+1:6239, err:-1.0 
dut_data:166, torch_data:167, c:1, w:71, h:2, i+1:6258, err:-1.0 
dut_data:157, torch_data:158, c:3, w:71, h:2, i+1:6260, err:-1.0 
dut_data:155, torch_data:156, c:5, w:76, h:2, i+1:6342, err:-1.0 
dut_data:172, torch_data:173, c:0, w:83, h:2, i+1:6449, err:-1.0 
dut_data:161, torch_data:162, c:10, w:87, h:2, i+1:6523, err:-1.0 
dut_data:159, torch_data:160, c:13, w:88, h:2, i+1:6542, err:-1.0 
dut_data:164, torch_data:165, c:2, w:89, h:2, i+1:6547, err:-1.0 
dut_data:155, torch_data:156, c:2, w:98, h:2, i+1:6691, err:-1.0 
dut_data:158, torch_data:159, c:13, w:102, h:2, i+1:6766, err:-1.0 
dut_data:158, torch_data:159, c:0, w:105, h:2, i+1:6801, err:-1.0 
dut_data:154, torch_data:155, c:13, w:109, h:2, i+1:6878, err:-1.0 
dut_data:154, torch_data:155, c:11, w:114, h:2, i+1:6956, err:-1.0 
dut_data:154, torch_data:155, c:13, w:114, h:2, i+1:6958, err:-1.0 
dut_data:175, torch_data:176, c:8, w:115, h:2, i+1:6969, err:-1.0 
dut_data:167, torch_data:168, c:1, w:116, h:2, i+1:6978, err:-1.0 
dut_data:160, torch_data:161, c:9, w:116, h:2, i+1:6986, err:-1.0 
dut_data:159, torch_data:160, c:14, w:124, h:2, i+1:7119, err:-1.0 
dut_data:159, torch_data:160, c:11, w:130, h:2, i+1:7212, err:-1.0 
dut_data:160, torch_data:161, c:13, w:131, h:2, i+1:7230, err:-1.0 
dut_data:185, torch_data:186, c:6, w:133, h:2, i+1:7255, err:-1.0 
dut_data:195, torch_data:196, c:10, w:139, h:2, i+1:7355, err:-1.0 
dut_data:168, torch_data:169, c:4, w:140, h:2, i+1:7365, err:-1.0 
dut_data:163, torch_data:164, c:14, w:140, h:2, i+1:7375, err:-1.0 
dut_data:160, torch_data:161, c:7, w:142, h:2, i+1:7400, err:-1.0 
dut_data:162, torch_data:163, c:10, w:144, h:2, i+1:7435, err:-1.0 
dut_data:153, torch_data:154, c:13, w:147, h:2, i+1:7486, err:-1.0 
dut_data:156, torch_data:157, c:9, w:148, h:2, i+1:7498, err:-1.0 
dut_data:176, torch_data:177, c:13, w:148, h:2, i+1:7502, err:-1.0 
dut_data:155, torch_data:156, c:14, w:153, h:2, i+1:7583, err:-1.0 
dut_data:169, torch_data:170, c:14, w:159, h:2, i+1:7679, err:-1.0 
dut_data:155, torch_data:156, c:7, w:0, h:3, i+1:7688, err:-1.0 
dut_data:168, torch_data:169, c:11, w:2, h:3, i+1:7724, err:-1.0 
