dut_data:159, torch_data:158, c:12, w:30, h:5, i+1:13293, err:1.0 
dut_data:168, torch_data:167, c:9, w:44, h:5, i+1:13514, err:1.0 
dut_data:174, torch_data:173, c:1, w:87, h:5, i+1:14194, err:1.0 
dut_data:159, torch_data:158, c:4, w:98, h:5, i+1:14373, err:1.0 
dut_data:164, torch_data:163, c:1, w:135, h:5, i+1:14962, err:1.0 
dut_data:167, torch_data:166, c:12, w:150, h:5, i+1:15213, err:1.0 
dut_data:178, torch_data:177, c:15, w:156, h:5, i+1:15312, err:1.0 
dut_data:161, torch_data:160, c:10, w:7, h:6, i+1:15483, err:1.0 
dut_data:155, torch_data:154, c:10, w:11, h:6, i+1:15547, err:1.0 
dut_data:169, torch_data:168, c:5, w:17, h:6, i+1:15638, err:1.0 
dut_data:160, torch_data:159, c:10, w:23, h:6, i+1:15739, err:1.0 
dut_data:175, torch_data:174, c:7, w:34, h:6, i+1:15912, err:1.0 
dut_data:169, torch_data:168, c:1, w:36, h:6, i+1:15938, err:1.0 
dut_data:169, torch_data:168, c:10, w:59, h:6, i+1:16315, err:1.0 
dut_data:156, torch_data:155, c:10, w:71, h:6, i+1:16507, err:1.0 
dut_data:164, torch_data:163, c:9, w:85, h:6, i+1:16730, err:1.0 
dut_data:168, torch_data:167, c:13, w:112, h:6, i+1:17166, err:1.0 
dut_data:153, torch_data:152, c:9, w:139, h:6, i+1:17594, err:1.0 
dut_data:189, torch_data:188, c:7, w:145, h:6, i+1:17688, err:1.0 
dut_data:153, torch_data:152, c:7, w:151, h:6, i+1:17784, err:1.0 
dut_data:159, torch_data:158, c:15, w:0, h:7, i+1:17936, err:1.0 
dut_data:171, torch_data:170, c:3, w:28, h:7, i+1:18372, err:1.0 
dut_data:171, torch_data:170, c:1, w:36, h:7, i+1:18498, err:1.0 
dut_data:157, torch_data:158, c:14, w:60, h:7, i+1:18895, err:-1.0 
dut_data:157, torch_data:156, c:13, w:63, h:7, i+1:18942, err:1.0 
dut_data:169, torch_data:168, c:1, w:66, h:7, i+1:18978, err:1.0 
dut_data:155, torch_data:154, c:7, w:71, h:7, i+1:19064, err:1.0 
dut_data:191, torch_data:190, c:14, w:73, h:7, i+1:19103, err:1.0 
dut_data:178, torch_data:177, c:7, w:74, h:7, i+1:19112, err:1.0 
dut_data:174, torch_data:173, c:10, w:80, h:7, i+1:19211, err:1.0 
dut_data:157, torch_data:156, c:9, w:139, h:7, i+1:20154, err:1.0 
dut_data:157, torch_data:156, c:2, w:147, h:7, i+1:20275, err:1.0 
dut_data:155, torch_data:154, c:13, w:159, h:7, i+1:20478, err:1.0 
dut_data:175, torch_data:174, c:3, w:66, h:8, i+1:21540, err:1.0 
dut_data:189, torch_data:190, c:13, w:84, h:8, i+1:21838, err:-1.0 
dut_data:171, torch_data:170, c:13, w:95, h:8, i+1:22014, err:1.0 
dut_data:159, torch_data:158, c:5, w:97, h:8, i+1:22038, err:1.0 
dut_data:160, torch_data:159, c:9, w:124, h:8, i+1:22474, err:1.0 
dut_data:161, torch_data:160, c:2, w:150, h:8, i+1:22883, err:1.0 
dut_data:165, torch_data:164, c:7, w:1, h:9, i+1:23064, err:1.0 
dut_data:169, torch_data:168, c:14, w:33, h:9, i+1:23583, err:1.0 
dut_data:158, torch_data:157, c:4, w:43, h:9, i+1:23733, err:1.0 
dut_data:168, torch_data:167, c:11, w:45, h:9, i+1:23772, err:1.0 
dut_data:155, torch_data:156, c:14, w:60, h:9, i+1:24015, err:-1.0 
dut_data:175, torch_data:174, c:12, w:62, h:9, i+1:24045, err:1.0 
dut_data:155, torch_data:154, c:8, w:85, h:9, i+1:24409, err:1.0 
dut_data:191, torch_data:192, c:13, w:100, h:9, i+1:24654, err:-1.0 
dut_data:170, torch_data:169, c:4, w:123, h:9, i+1:25013, err:1.0 
dut_data:154, torch_data:153, c:10, w:151, h:9, i+1:25467, err:1.0 
dut_data:156, torch_data:155, c:1, w:27, h:10, i+1:26034, err:1.0 
dut_data:157, torch_data:156, c:14, w:49, h:10, i+1:26399, err:1.0 
dut_data:167, torch_data:166, c:15, w:58, h:10, i+1:26544, err:1.0 
dut_data:176, torch_data:175, c:7, w:66, h:10, i+1:26664, err:1.0 
dut_data:185, torch_data:184, c:13, w:67, h:10, i+1:26686, err:1.0 
dut_data:154, torch_data:153, c:1, w:71, h:10, i+1:26738, err:1.0 
dut_data:161, torch_data:160, c:13, w:80, h:10, i+1:26894, err:1.0 
dut_data:191, torch_data:190, c:5, w:94, h:10, i+1:27110, err:1.0 
dut_data:160, torch_data:159, c:13, w:102, h:10, i+1:27246, err:1.0 
dut_data:160, torch_data:159, c:9, w:117, h:10, i+1:27482, err:1.0 
dut_data:154, torch_data:153, c:3, w:135, h:10, i+1:27764, err:1.0 
dut_data:160, torch_data:159, c:6, w:148, h:10, i+1:27975, err:1.0 
dut_data:157, torch_data:156, c:10, w:10, h:11, i+1:28331, err:1.0 
dut_data:172, torch_data:171, c:5, w:14, h:11, i+1:28390, err:1.0 
dut_data:154, torch_data:153, c:15, w:14, h:11, i+1:28400, err:1.0 
dut_data:167, torch_data:166, c:5, w:33, h:11, i+1:28694, err:1.0 
dut_data:184, torch_data:183, c:12, w:62, h:11, i+1:29165, err:1.0 
dut_data:164, torch_data:163, c:10, w:99, h:11, i+1:29755, err:1.0 
dut_data:171, torch_data:170, c:2, w:102, h:11, i+1:29795, err:1.0 
dut_data:162, torch_data:161, c:0, w:153, h:11, i+1:30609, err:1.0 
dut_data:156, torch_data:155, c:15, w:0, h:12, i+1:30736, err:1.0 
dut_data:175, torch_data:174, c:10, w:7, h:12, i+1:30843, err:1.0 
dut_data:161, torch_data:160, c:3, w:21, h:12, i+1:31060, err:1.0 
dut_data:167, torch_data:166, c:7, w:34, h:12, i+1:31272, err:1.0 
dut_data:165, torch_data:164, c:10, w:43, h:12, i+1:31419, err:1.0 
dut_data:154, torch_data:153, c:7, w:49, h:12, i+1:31512, err:1.0 
dut_data:153, torch_data:152, c:2, w:54, h:12, i+1:31587, err:1.0 
dut_data:153, torch_data:152, c:10, w:102, h:12, i+1:32363, err:1.0 
dut_data:163, torch_data:162, c:13, w:102, h:12, i+1:32366, err:1.0 
dut_data:155, torch_data:154, c:6, w:103, h:12, i+1:32375, err:1.0 
dut_data:167, torch_data:166, c:7, w:114, h:12, i+1:32552, err:1.0 
dut_data:160, torch_data:159, c:13, w:118, h:12, i+1:32622, err:1.0 
dut_data:173, torch_data:172, c:15, w:154, h:12, i+1:33200, err:1.0 
dut_data:177, torch_data:176, c:0, w:9, h:13, i+1:33425, err:1.0 
dut_data:163, torch_data:162, c:9, w:13, h:13, i+1:33498, err:1.0 
dut_data:161, torch_data:160, c:7, w:18, h:13, i+1:33576, err:1.0 
dut_data:174, torch_data:173, c:9, w:46, h:13, i+1:34026, err:1.0 
dut_data:153, torch_data:154, c:14, w:60, h:13, i+1:34255, err:-1.0 
dut_data:153, torch_data:152, c:3, w:87, h:13, i+1:34676, err:1.0 
dut_data:173, torch_data:172, c:1, w:146, h:13, i+1:35618, err:1.0 
dut_data:186, torch_data:185, c:14, w:157, h:13, i+1:35807, err:1.0 
dut_data:190, torch_data:189, c:6, w:3, h:14, i+1:35895, err:1.0 
dut_data:157, torch_data:156, c:5, w:6, h:14, i+1:35942, err:1.0 
dut_data:173, torch_data:172, c:10, w:11, h:14, i+1:36027, err:1.0 
dut_data:161, torch_data:160, c:13, w:18, h:14, i+1:36142, err:1.0 
dut_data:177, torch_data:176, c:1, w:36, h:14, i+1:36418, err:1.0 
dut_data:153, torch_data:152, c:0, w:38, h:14, i+1:36449, err:1.0 
dut_data:173, torch_data:172, c:1, w:68, h:14, i+1:36930, err:1.0 
dut_data:155, torch_data:154, c:14, w:75, h:14, i+1:37055, err:1.0 
dut_data:170, torch_data:169, c:9, w:101, h:14, i+1:37466, err:1.0 
dut_data:158, torch_data:157, c:3, w:106, h:14, i+1:37540, err:1.0 
dut_data:164, torch_data:163, c:7, w:2, h:15, i+1:38440, err:1.0 
dut_data:164, torch_data:163, c:0, w:14, h:15, i+1:38625, err:1.0 
dut_data:159, torch_data:158, c:1, w:34, h:15, i+1:38946, err:1.0 
dut_data:163, torch_data:164, c:13, w:36, h:15, i+1:38990, err:-1.0 
dut_data:156, torch_data:155, c:5, w:41, h:15, i+1:39062, err:1.0 
dut_data:159, torch_data:158, c:0, w:46, h:15, i+1:39137, err:1.0 
dut_data:185, torch_data:184, c:15, w:58, h:15, i+1:39344, err:1.0 
dut_data:158, torch_data:157, c:1, w:67, h:15, i+1:39474, err:1.0 
dut_data:160, torch_data:159, c:9, w:75, h:15, i+1:39610, err:1.0 
dut_data:176, torch_data:175, c:3, w:76, h:15, i+1:39620, err:1.0 
dut_data:155, torch_data:154, c:3, w:81, h:15, i+1:39700, err:1.0 
dut_data:159, torch_data:158, c:5, w:85, h:15, i+1:39766, err:1.0 
dut_data:172, torch_data:171, c:1, w:100, h:15, i+1:40002, err:1.0 
dut_data:164, torch_data:163, c:7, w:112, h:15, i+1:40200, err:1.0 
dut_data:172, torch_data:171, c:15, w:112, h:15, i+1:40208, err:1.0 
dut_data:156, torch_data:155, c:1, w:123, h:15, i+1:40370, err:1.0 
dut_data:169, torch_data:168, c:15, w:132, h:15, i+1:40528, err:1.0 
dut_data:157, torch_data:156, c:3, w:133, h:15, i+1:40532, err:1.0 
dut_data:176, torch_data:175, c:11, w:136, h:15, i+1:40588, err:1.0 
dut_data:159, torch_data:160, c:4, w:144, h:15, i+1:40709, err:-1.0 
dut_data:153, torch_data:152, c:10, w:149, h:15, i+1:40795, err:1.0 
dut_data:174, torch_data:173, c:10, w:7, h:16, i+1:41083, err:1.0 
dut_data:171, torch_data:170, c:3, w:12, h:16, i+1:41156, err:1.0 
dut_data:176, torch_data:175, c:1, w:36, h:16, i+1:41538, err:1.0 
dut_data:191, torch_data:190, c:3, w:37, h:16, i+1:41556, err:1.0 
dut_data:181, torch_data:180, c:10, w:39, h:16, i+1:41595, err:1.0 
dut_data:243, torch_data:242, c:5, w:46, h:16, i+1:41702, err:1.0 
dut_data:188, torch_data:187, c:13, w:48, h:16, i+1:41742, err:1.0 
dut_data:158, torch_data:157, c:7, w:63, h:16, i+1:41976, err:1.0 
dut_data:188, torch_data:187, c:10, w:89, h:16, i+1:42395, err:1.0 
dut_data:154, torch_data:153, c:10, w:129, h:16, i+1:43035, err:1.0 
dut_data:171, torch_data:170, c:13, w:144, h:16, i+1:43278, err:1.0 
dut_data:155, torch_data:154, c:15, w:145, h:16, i+1:43296, err:1.0 
dut_data:179, torch_data:178, c:12, w:158, h:16, i+1:43501, err:1.0 
dut_data:158, torch_data:157, c:15, w:0, h:17, i+1:43536, err:1.0 
dut_data:173, torch_data:172, c:13, w:16, h:17, i+1:43790, err:1.0 
dut_data:162, torch_data:161, c:9, w:21, h:17, i+1:43866, err:1.0 
dut_data:154, torch_data:153, c:8, w:24, h:17, i+1:43913, err:1.0 
dut_data:167, torch_data:166, c:12, w:34, h:17, i+1:44077, err:1.0 
dut_data:174, torch_data:173, c:9, w:38, h:17, i+1:44138, err:1.0 
dut_data:153, torch_data:152, c:8, w:42, h:17, i+1:44201, err:1.0 
dut_data:155, torch_data:154, c:9, w:43, h:17, i+1:44218, err:1.0 
dut_data:199, torch_data:198, c:13, w:48, h:17, i+1:44302, err:1.0 
dut_data:166, torch_data:165, c:12, w:66, h:17, i+1:44589, err:1.0 
dut_data:162, torch_data:161, c:15, w:66, h:17, i+1:44592, err:1.0 
dut_data:166, torch_data:165, c:7, w:73, h:17, i+1:44696, err:1.0 
dut_data:174, torch_data:173, c:1, w:100, h:17, i+1:45122, err:1.0 
dut_data:200, torch_data:199, c:5, w:110, h:17, i+1:45286, err:1.0 
dut_data:153, torch_data:152, c:10, w:119, h:17, i+1:45435, err:1.0 
dut_data:171, torch_data:170, c:9, w:133, h:17, i+1:45658, err:1.0 
dut_data:170, torch_data:169, c:1, w:147, h:17, i+1:45874, err:1.0 
dut_data:174, torch_data:173, c:8, w:147, h:17, i+1:45881, err:1.0 
dut_data:174, torch_data:173, c:9, w:155, h:17, i+1:46010, err:1.0 
dut_data:187, torch_data:186, c:13, w:159, h:17, i+1:46078, err:1.0 
dut_data:197, torch_data:196, c:3, w:5, h:18, i+1:46164, err:1.0 
dut_data:181, torch_data:180, c:3, w:26, h:18, i+1:46500, err:1.0 
dut_data:167, torch_data:166, c:14, w:30, h:18, i+1:46575, err:1.0 
dut_data:180, torch_data:179, c:3, w:87, h:18, i+1:47476, err:1.0 
dut_data:160, torch_data:161, c:9, w:90, h:18, i+1:47530, err:-1.0 
dut_data:153, torch_data:152, c:6, w:91, h:18, i+1:47543, err:1.0 
dut_data:162, torch_data:161, c:1, w:99, h:18, i+1:47666, err:1.0 
dut_data:172, torch_data:171, c:11, w:102, h:18, i+1:47724, err:1.0 
dut_data:193, torch_data:192, c:12, w:110, h:18, i+1:47853, err:1.0 
dut_data:181, torch_data:180, c:7, w:131, h:18, i+1:48184, err:1.0 
dut_data:194, torch_data:193, c:12, w:146, h:18, i+1:48429, err:1.0 
dut_data:159, torch_data:158, c:15, w:146, h:18, i+1:48432, err:1.0 
dut_data:161, torch_data:160, c:15, w:10, h:19, i+1:48816, err:1.0 
dut_data:162, torch_data:161, c:15, w:13, h:19, i+1:48864, err:1.0 
dut_data:209, torch_data:208, c:5, w:14, h:19, i+1:48870, err:1.0 
dut_data:187, torch_data:186, c:12, w:18, h:19, i+1:48941, err:1.0 
dut_data:167, torch_data:166, c:1, w:36, h:19, i+1:49218, err:1.0 
dut_data:164, torch_data:165, c:13, w:36, h:19, i+1:49230, err:-1.0 
dut_data:156, torch_data:155, c:11, w:45, h:19, i+1:49372, err:1.0 
dut_data:195, torch_data:194, c:5, w:46, h:19, i+1:49382, err:1.0 
dut_data:224, torch_data:223, c:13, w:51, h:19, i+1:49470, err:1.0 
dut_data:172, torch_data:171, c:3, w:74, h:19, i+1:49828, err:1.0 
dut_data:202, torch_data:201, c:2, w:77, h:19, i+1:49875, err:1.0 
dut_data:165, torch_data:164, c:10, w:103, h:19, i+1:50299, err:1.0 
dut_data:173, torch_data:172, c:8, w:104, h:19, i+1:50313, err:1.0 
dut_data:197, torch_data:196, c:13, w:112, h:19, i+1:50446, err:1.0 
dut_data:166, torch_data:165, c:12, w:114, h:19, i+1:50477, err:1.0 
dut_data:157, torch_data:156, c:7, w:128, h:19, i+1:50696, err:1.0 
dut_data:162, torch_data:161, c:3, w:130, h:19, i+1:50724, err:1.0 
dut_data:160, torch_data:159, c:1, w:135, h:19, i+1:50802, err:1.0 
dut_data:164, torch_data:163, c:5, w:158, h:19, i+1:51174, err:1.0 
dut_data:189, torch_data:188, c:10, w:9, h:20, i+1:51355, err:1.0 
dut_data:172, torch_data:171, c:3, w:16, h:20, i+1:51460, err:1.0 
dut_data:158, torch_data:157, c:4, w:37, h:20, i+1:51797, err:1.0 
dut_data:175, torch_data:174, c:10, w:41, h:20, i+1:51867, err:1.0 
dut_data:171, torch_data:170, c:1, w:52, h:20, i+1:52034, err:1.0 
dut_data:169, torch_data:168, c:11, w:57, h:20, i+1:52124, err:1.0 
dut_data:172, torch_data:171, c:1, w:84, h:20, i+1:52546, err:1.0 
dut_data:159, torch_data:158, c:3, w:92, h:20, i+1:52676, err:1.0 
dut_data:183, torch_data:182, c:13, w:95, h:20, i+1:52734, err:1.0 
dut_data:160, torch_data:159, c:11, w:109, h:20, i+1:52956, err:1.0 
dut_data:164, torch_data:163, c:1, w:133, h:20, i+1:53330, err:1.0 
dut_data:172, torch_data:171, c:10, w:137, h:20, i+1:53403, err:1.0 
dut_data:159, torch_data:158, c:15, w:142, h:20, i+1:53488, err:1.0 
dut_data:195, torch_data:194, c:13, w:144, h:20, i+1:53518, err:1.0 
dut_data:174, torch_data:173, c:14, w:145, h:20, i+1:53535, err:1.0 
dut_data:175, torch_data:174, c:8, w:150, h:20, i+1:53609, err:1.0 
dut_data:186, torch_data:185, c:13, w:159, h:20, i+1:53758, err:1.0 
dut_data:169, torch_data:168, c:15, w:10, h:21, i+1:53936, err:1.0 
dut_data:180, torch_data:179, c:12, w:18, h:21, i+1:54061, err:1.0 
dut_data:182, torch_data:181, c:7, w:25, h:21, i+1:54168, err:1.0 
dut_data:197, torch_data:196, c:2, w:29, h:21, i+1:54227, err:1.0 
dut_data:185, torch_data:184, c:0, w:44, h:21, i+1:54465, err:1.0 
dut_data:163, torch_data:162, c:11, w:49, h:21, i+1:54556, err:1.0 
dut_data:162, torch_data:161, c:10, w:54, h:21, i+1:54635, err:1.0 
dut_data:221, torch_data:220, c:2, w:61, h:21, i+1:54739, err:1.0 
dut_data:169, torch_data:168, c:14, w:71, h:21, i+1:54911, err:1.0 
dut_data:230, torch_data:229, c:2, w:109, h:21, i+1:55507, err:1.0 
dut_data:161, torch_data:160, c:3, w:112, h:21, i+1:55556, err:1.0 
