dut_data:89, torch_data:88, c:8, w:151, h:5, i+1:15225, err:1.0 
dut_data:78, torch_data:77, c:12, w:152, h:5, i+1:15245, err:1.0 
dut_data:80, torch_data:79, c:14, w:159, h:5, i+1:15359, err:1.0 
dut_data:77, torch_data:76, c:1, w:7, h:6, i+1:15474, err:1.0 
dut_data:81, torch_data:80, c:9, w:28, h:6, i+1:15818, err:1.0 
dut_data:79, torch_data:78, c:10, w:39, h:6, i+1:15995, err:1.0 
dut_data:89, torch_data:88, c:2, w:41, h:6, i+1:16019, err:1.0 
dut_data:77, torch_data:76, c:6, w:88, h:6, i+1:16775, err:1.0 
dut_data:80, torch_data:79, c:12, w:89, h:6, i+1:16797, err:1.0 
dut_data:83, torch_data:82, c:4, w:92, h:6, i+1:16837, err:1.0 
dut_data:85, torch_data:84, c:9, w:117, h:6, i+1:17242, err:1.0 
dut_data:91, torch_data:90, c:8, w:131, h:6, i+1:17465, err:1.0 
dut_data:81, torch_data:80, c:13, w:143, h:6, i+1:17662, err:1.0 
dut_data:93, torch_data:94, c:13, w:148, h:6, i+1:17742, err:-1.0 
dut_data:82, torch_data:81, c:7, w:153, h:6, i+1:17816, err:1.0 
dut_data:86, torch_data:85, c:14, w:153, h:6, i+1:17823, err:1.0 
dut_data:80, torch_data:79, c:14, w:154, h:6, i+1:17839, err:1.0 
dut_data:81, torch_data:80, c:6, w:1, h:7, i+1:17943, err:1.0 
dut_data:86, torch_data:85, c:8, w:19, h:7, i+1:18233, err:1.0 
dut_data:98, torch_data:97, c:7, w:34, h:7, i+1:18472, err:1.0 
dut_data:79, torch_data:78, c:4, w:40, h:7, i+1:18565, err:1.0 
dut_data:89, torch_data:88, c:11, w:50, h:7, i+1:18732, err:1.0 
dut_data:81, torch_data:80, c:13, w:79, h:7, i+1:19198, err:1.0 
dut_data:82, torch_data:81, c:9, w:101, h:7, i+1:19546, err:1.0 
dut_data:80, torch_data:79, c:1, w:119, h:7, i+1:19826, err:1.0 
